
All benchmarks:

| Change   | Before [12e16ab3] <main>   | After [45105175] <reduction_contiguous_fast_path>   | Ratio   | Benchmark (Parameter)                                       |
| -        | 2.44±0μs                   | 2.10±0.02μs                                         | 0.86    | bench_reduce.StatsReductions.time_prod('complex64')         |
| -        | 1.68±0μs                   | 1.35±0.02μs                                         | 0.80    | bench_reduce.StatsReductions.time_prod('float32')           |
| -        | 1.67±0.02μs                | 1.35±0.02μs                                         | 0.81    | bench_reduce.StatsReductions.time_prod('float64')           |
| -        | 1.59±0.01μs                | 1.25±0.02μs                                         | 0.78    | bench_reduce.StatsReductions.time_prod('int64')             |
| -        | 1.63±0μs                   | 1.25±0.02μs                                         | 0.77    | bench_reduce.StatsReductions.time_prod('uint64')            |
| -        | 8.04±0.04μs                | 7.70±0.07μs                                         | 0.96    | bench_reduce.StatsReductions.time_std('bool_')              |
|          | 10.4±0.01μs                | 10.4±0.1μs                                          | ~1.00   | bench_reduce.StatsReductions.time_std('complex64')          |
| -        | 8.61±0.03μs                | 8.31±0.06μs                                         | 0.96    | bench_reduce.StatsReductions.time_std('float32')            |
| -        | 6.81±0.01μs                | 6.50±0.05μs                                         | 0.95    | bench_reduce.StatsReductions.time_std('float64')            |
| -        | 7.56±0μs                   | 7.23±0.05μs                                         | 0.96    | bench_reduce.StatsReductions.time_std('int64')              |
| -        | 7.68±0.02μs                | 7.32±0.1μs                                          | 0.95    | bench_reduce.StatsReductions.time_std('uint64')             |
| -        | 7.61±0.01μs                | 7.36±0.08μs                                         | 0.97    | bench_reduce.StatsReductions.time_var('bool_')              |
|          | 9.85±0.01μs                | 9.91±0.1μs                                          | ~1.01   | bench_reduce.StatsReductions.time_var('complex64')          |
| -        | 8.09±0.01μs                | 7.77±0.09μs                                         | 0.96    | bench_reduce.StatsReductions.time_var('float32')            |
| -        | 6.43±0.03μs                | 6.22±0.04μs                                         | 0.97    | bench_reduce.StatsReductions.time_var('float64')            |
| -        | 7.19±0.03μs                | 6.90±0.05μs                                         | 0.96    | bench_reduce.StatsReductions.time_var('int64')              |
| -        | 7.23±0.03μs                | 7.02±0.05μs                                         | 0.97    | bench_reduce.StatsReductions.time_var('uint64')             |
